"";"species";"HEDGE_rank";"HEDGE";"conservation_classification"
"1396";"Funambulus_layardi";1098;0,143366773;"3 Species management"
"449";"Bos_mutus";1099;0,142905832;"1 Land/water protection"
"451";"Bos_mutus";1099;0,142905832;"2 Land/water management"
"452";"Bos_mutus";1099;0,142905832;"3 Species management"
"454";"Bos_mutus";1099;0,142905832;"5 Law & policy"
"5024";"Zyzomys_maini";1100;0,14272473;"2 Land/water management"
"2533";"Miniopterus_newtoni";1101;0,14231225;"None"
"1382";"Felis_nigripes";1102;0,140086;"2 Land/water management"
"1384";"Felis_nigripes";1102;0,140086;"3 Species management"
"1386";"Felis_nigripes";1102;0,140086;"4 Education & awareness"
"1387";"Felis_nigripes";1102;0,140086;"5 Law & policy"
"2372";"Maxomys_rajah";1103;0,139853302;"None"
"3021";"Notiosorex_villai";1104;0,139731748;"None"
"4320";"Scotophilus_nucella";1105;0,139607117;"None"
"1441";"Genetta_cristata";1106;0,139455008;"1 Land/water protection"
"1442";"Genetta_cristata";1106;0,139455008;"2 Land/water management"
"1443";"Genetta_cristata";1106;0,139455008;"3 Species management"
"3527";"Pipistrellus_permixtus";1107;0,139008335;"None"
"2865";"Natalus_primus";1108;0,138089509;"1 Land/water protection"
"2866";"Natalus_primus";1108;0,138089509;"2 Land/water management"
"2867";"Natalus_primus";1108;0,138089509;"4 Education & awareness"
"2662";"Murina_aenea";1109;0,1379175;"2 Land/water management"
"666";"Carpitalpa_arendsi";1110;0,137373468;"2 Land/water management"
"4440";"Suncus_ater";1111;0,134971853;"2 Land/water management"
