"";"species";"order";"family";"IUCN_status_real";"IUCN_status_imputed";"GE";"ED";"ED_rank";"EDGE";"EDGE_rank";"HEDGE";"HEDGE_rank";"LEDGE";"LEDGE_rank"
"1644";"Galagoides_demidoff";"Primates";"Galagidae";"LC";"LC";0;9,96630389050069;911,5;2,39482728866251;2320,5;0,000150135253675;3321,5;3,00255493824633;1890,5
"1645";"Galagoides_granti";"Primates";"Galagidae";"LC";"LC";0;8,29346340240545;1298;2,22931129308095;2654;0,000186892250360563;3061;3,7376581149609;1493
"1646";"Galagoides_orinus";"Primates";"Galagidae";"NT";"NT";1;10,519265723834;818;3,13716809454574;1283;0,0305015000000027;1495;7,59487350000067;551
"1647";"Galagoides_rondoensis";"Primates";"Galagidae";"CR";"CR";4;10,6642620214531;799;5,22911836137012;46;6,687110063;54;0,206817837;5247
"1648";"Galagoides_thomasi";"Primates";"Galagidae";"LC";"LC";0;9,96630389050069;911,5;2,39482728866251;2320,5;0,000150135253675;3321,5;3,00255493824633;1890,5
"1649";"Galagoides_zanzibaricus";"Primates";"Galagidae";"LC";"LC";0;7,3045691047864;1633,5;2,11680585788859;2936,5;9,57608093037431e-05;3962,5;1,91512042526556;2849,5
"1650";"Galea_comes";"Rodentia";"Caviidae";"DD";"LC";0;10,4926708755839;822;2,44170951703095;2236;0,000294537381523932;2562;5,89045309309711;810
"1651";"Galea_flavidens";"Rodentia";"Caviidae";"LC";"LC";0;10,8857445541553;770;2,47533974539225;2180;0,0002853903451;2590;5,7075215116549;847
"1652";"Galea_leucoblephara";"Rodentia";"Caviidae";"LC";"LC";0;10,8092493160601;777;2,46888306477329;2189;0,0002998067924656;2548;5,99583604251954;789
"1653";"Galea_musteloides";"Rodentia";"Caviidae";"DD";"NT";1;11,180044423203;742;3,19294609006025;1238;0,0292719605066618;1513;7,2887181661588;595
"1654";"Galea_spixii";"Rodentia";"Caviidae";"LC";"LC";0;11,4984380303458;695;2,52560367892807;2114;0,000379844000002387;2383;7,59650015604774;550
"1655";"Galemys_pyrenaicus";"Eulipotyphla";"Talpidae";"VU";"VU";2;13,5779515145525;475,5;4,06580457814164;472;0,520604695000001;718;9,89148920500001;361
"1656";"Galenomys_garleppi";"Rodentia";"Cricetidae";"DD";"NT";1;3,97159177626944;3378;2,29688724630616;2492;0,00899491502273755;1726;2,23973384066165;2516
"1657";"Galeopterus_variegatus";"Dermoptera";"Cynocephalidae";"LC";"LC";0;44,7536612015441;9,5;3,82327181478286;659,5;0,000370686575;2399,5;7,413360813425;578,5
"1658";"Galictis_cuja";"Carnivora";"Mustelidae";"LC";"LC";0;8,84687557085983;1149,5;2,28715420393721;2525,5;0,00018535832849092;3072,5;3,70698121148991;1508,5
"1659";"Galictis_vittata";"Carnivora";"Mustelidae";"LC";"LC";0;8,84687557085983;1149,5;2,28715420393721;2525,5;0,00018535832849092;3072,5;3,70698121148991;1508,5
"1660";"Galidia_elegans";"Carnivora";"Eupleridae";"LC";"LC";0;12,7136386858308;579;2,61839086214138;1971;0,000520659926805934;2233;10,4126778761919;341
"1661";"Galidictis_fasciata";"Carnivora";"Eupleridae";"VU";"VU";2;7,58808013225941;1533,5;3,53666957181709;876;0,193492916712958;1010;3,67636541754621;1526
"1662";"Galidictis_grandidieri";"Carnivora";"Eupleridae";"EN";"EN";3;7,58808013225941;1533,5;4,22981675237704;351;1,15276297225157;476;1,59191077120455;3226
"1663";"Gazella_bennettii";"Cetartiodactyla";"Bovidae";"LC";"LC";0;2,00880088788072;5057;1,10154162326858;5209;4,9881434832869e-05;4813;0,997578815222547;4135
"1664";"Gazella_cuvieri";"Cetartiodactyla";"Bovidae";"VU";"VU";2;1,96956115058203;5088,5;2,47470854227001;2183;0,0548607812775829;1360;1,04235484427408;4048
