"";"species";"range_size"
"482";"Bunomys_chrysocomus";437681,318872223
"483";"Bunomys_coelestis";9312,36848664304
"484";"Bunomys_fratrorum";55874,2109198582
"485";"Bunomys_penitus";93123,6848664304
"486";"Bunomys_prolatus";18624,7369732861
"487";"Burramys_parvus";37249,4739465721
"488";"Cabassous_centralis";1331668,69358995
"489";"Cabassous_chacoensis";698427,636498228
"490";"Cabassous_tatouay";2998582,65269906
"491";"Cabassous_unicinctus";10625412,4432597
"492";"Cacajao_calvus";530805,003738653
"493";"Cacajao_hosomi";167622,632759575
"494";"Caenolestes_caniventer";121060,790326359
"495";"Caenolestes_condorensis";9312,36848664304
"496";"Caenolestes_convelatus";130373,158813003
"497";"Caenolestes_fuliginosus";437681,318872223
"498";"Caenolestes_sangay";46561,8424332152
"499";"Caipora_bambuiorum";0
"500";"Calcochloris_obtusirostris";260746,317626005
"501";"Calcochloris_tytonis";9312,36848664304
"502";"Callicebus_aureipalatii";55874,2109198582
"503";"Callicebus_baptista";93123,6848664304
"504";"Callicebus_barbarabrownae";260746,317626005
"505";"Callicebus_bernhardi";232809,212166076
"506";"Callicebus_brunneus";474930,792818795
"507";"Callicebus_caligatus";158310,264272932
"508";"Callicebus_caquetensis";9312,36848664304
"509";"Callicebus_cinerascens";335245,265519149
"510";"Callicebus_coimbrai";121060,790326359
"511";"Callicebus_cupreus";1052297,63899066
"512";"Callicebus_discolor";363182,370979078
"513";"Callicebus_donacophilus";307308,16005922
"514";"Callicebus_dubius";242121,580652719
"515";"Callicebus_hoffmannsi";195559,738219504
"516";"Callicebus_lucifer";409744,213412294
"517";"Callicebus_lugens";1294419,21964338
"518";"Callicebus_medemi";74498,9478931443
"519";"Callicebus_melanochir";232809,212166076
"520";"Callicebus_modestus";37249,4739465721
"521";"Callicebus_moloch";1210607,90326359
"522";"Callicebus_nigrifrons";717052,373471514
"523";"Callicebus_oenanthe";55874,2109198582
"524";"Callicebus_olallae";18624,7369732861
"525";"Callicebus_ornatus";93123,6848664304
"526";"Callicebus_pallescens";605303,951631797
"527";"Callicebus_personatus";223496,843679433
"528";"Callicebus_purinus";279371,054599291
